# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.pre.handlers.ms,1747919256321000000,1747919272715000000,0
workspaceModel.updates.precise.ms,1747919256321000000,1747919272715000000,0
workspaceModel.cachedValueWithParameters.total.get.ms,1747919256321000000,1747919272715000000,0
workspaceModel.updates.count,1747919256321000000,1747919272715000000,0
workspaceModel.cachedValue.clear.ms,1747919256321000000,1747919272715000000,0
workspaceModel.cachedValue.calculated.ms,1747919256321000000,1747919272715000000,2
workspaceModel.loading.from.cache.ms,1747919256321000000,1747919272715000000,76
workspaceModel.cachedValue.from.cache.ms,1747919256321000000,1747919272715000000,0
workspaceModel.updates.ms,1747919256321000000,1747919272715000000,0
workspaceModel.cachedValue.total.get.ms,1747919256321000000,1747919272715000000,2
workspaceModel.replace.project.model.ms,1747919256321000000,1747919272715000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1747919256321000000,1747919272715000000,3
workspaceModel.check.recursive.update.ms,1747919256321000000,1747919272715000000,0
workspaceModel.loading.total.ms,1747919256321000000,1747919272715000000,101
workspaceModel.initializing.ms,1747919256321000000,1747919272715000000,0
workspaceModel.cachedValueWithParameters.clear.ms,1747919256321000000,1747919272715000000,0
workspaceModel.init.bridges.ms,1747919256321000000,1747919272715000000,0
workspaceModel.update.unloaded.entities.ms,1747919256321000000,1747919272715000000,0
workspaceModel.cachedValueWithParameters.calculated.ms,1747919256321000000,1747919272715000000,0
workspaceModel.collect.changes.ms,1747919256321000000,1747919272715000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1747919256321000000,1747919272715000000,0
workspaceModel.to.snapshot.ms,1747919256321000000,1747919272715000000,0
workspaceModel.full.replace.project.model.ms,1747919256321000000,1747919272715000000,0
VFS.fileByIdCache.hits,1747919256321000000,1747919272715000000,0
VFS.fileByIdCache.misses,1747919256321000000,1747919272715000000,0
VFS.invertedFileNameIndex.requests,1747919256321000000,1747919272715000000,0
VFS.fileChildByName,1747919256321000000,1747919272715000000,13
AWTEventQueue.dispatchTimeAvgNs,1747919256321000000,1747919272715000000,0.0
NonBlockingReadAction.failedExecutionsCount,1747919256321000000,1747919272715000000,0
AWTEventQueue.dispatchTimeTotalNS,1747919256321000000,1747919272715000000,13680375899
FlushQueue.waitingTimeAvgNs,1747919256321000000,1747919272715000000,0.0
