# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.create.module.instance.ms,1747918584791000000,1747918604693000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1747918584791000000,1747918604693000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1747918584791000000,1747918604693000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1747918584791000000,1747918604693000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1747918584791000000,1747918604693000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1747918584791000000,1747918604693000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1747918584791000000,1747918604693000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1747918584791000000,1747918604693000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1747918584791000000,1747918604693000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1747918584791000000,1747918604693000000,0
workspaceModel.global.updates.count,1747918584791000000,1747918604693000000,0
workspaceModel.global.apply.state.to.project.ms,1747918584791000000,1747918604693000000,0
FilePageCacheLockFree.totalPagesAllocated,1747918584791000000,1747918604693000000,0
FilePageCache.uncachedFileAccess,1747918584791000000,1747918604693000000,331
FilePageCacheLockFree.totalHeapBytesReclaimed,1747918584791000000,1747918604693000000,0
MappedFileStorage.totalPagesMapped,1747918584791000000,1747918604693000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1747918584791000000,1747918604693000000,0
FilePageCacheLockFree.totalBytesRequested,1747918584791000000,1747918604693000000,0
FilePageCacheLockFree.totalPagesReclaimed,1747918584791000000,1747918604693000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1747918584791000000,1747918604693000000,0
DirectByteBufferAllocator.hits,1747918584791000000,1747918604693000000,3
FilePageCacheLockFree.totalHeapBytesAllocated,1747918584791000000,1747918604693000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1747918584791000000,1747918604693000000,0
FilePageCache.capacityInBytes,1747918584791000000,1747918604693000000,503316478
FilePageCacheLockFree.nativeBytesInUse,1747918584791000000,1747918604693000000,0
FilePageCacheLockFree.totalBytesWritten,1747918584791000000,1747918604693000000,0
StorageLockContext.competingThreads.90P,1747918584791000000,1747918604693000000,0
FilePageCacheLockFree.totalPagesWritten,1747918584791000000,1747918604693000000,0
DirectByteBufferAllocator.misses,1747918584791000000,1747918604693000000,193
FilePageCache.pageLoads,1747918584791000000,1747918604693000000,196
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1747918584791000000,1747918604693000000,41943040
DirectByteBufferAllocator.reclaimed,1747918584791000000,1747918604693000000,43
FileChannelInterruptsRetryer.totalRetriedAttempts,1747918584791000000,1747918604693000000,0
FilePageCache.disposedBuffers,1747918584791000000,1747918604693000000,196
FilePageCacheLockFree.totalPagesRequested,1747918584791000000,1747918604693000000,0
StorageLockContext.competingThreads.avg,1747918584791000000,1747918604693000000,0.0
FilePageCache.totalPageDisposalsUs,1747918584791000000,1747918604693000000,2036
FilePageCache.pageFastCacheHits,1747918584791000000,1747918604693000000,13586
FilePageCache.pageHits,1747918584791000000,1747918604693000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1747918584791000000,1747918604693000000,2200637
FilePageCacheLockFree.totalClosedStoragesReclaimed,1747918584791000000,1747918604693000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1747918584791000000,1747918604693000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1747918584791000000,1747918604693000000,0
MappedFileStorage.totalBytesMapped,1747918584791000000,1747918604693000000,0
StorageLockContext.competingThreads.max,1747918584791000000,1747918604693000000,0
FilePageCacheLockFree.totalBytesRead,1747918584791000000,1747918604693000000,0
FilePageCacheLockFree.totalPagesHandedOver,1747918584791000000,1747918604693000000,0
FilePageCache.maxCacheSizeInBytes,1747918584791000000,1747918604693000000,202375168
FilePageCacheLockFree.totalNativeBytesAllocated,1747918584791000000,1747918604693000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1747918584791000000,1747918604693000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1747918584791000000,1747918604693000000,0
MappedFileStorage.storages,1747918584791000000,1747918604693000000,0
FilePageCacheLockFree.totalPagesWriteMs,1747918584791000000,1747918604693000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1747918584791000000,1747918604693000000,41943040
FilePageCacheLockFree.heapBytesInUse,1747918584791000000,1747918604693000000,0
FilePageCache.totalPageLoadsUs,1747918584791000000,1747918604693000000,339029
FilePageCacheLockFree.totalPagesReadMs,1747918584791000000,1747918604693000000,0
DirectByteBufferAllocator.disposed,1747918584791000000,1747918604693000000,153
FilePageCache.maxRegisteredFiles,1747918584791000000,1747918604693000000,537
VFS.invertedFileNameIndex.requests,1747918584791000000,1747918604693000000,0
VFS.fileByIdCache.hits,1747918584791000000,1747918604693000000,0
VFS.fileByIdCache.misses,1747918584791000000,1747918604693000000,0
VFS.fileChildByName,1747918584791000000,1747918604693000000,13
cacheStateStorage.set.counter,1747918584791000000,1747918604693000000,0
cacheStateStorage.get.counter,1747918584791000000,1747918604693000000,10
cacheStateStorage.set.duration,1747918584791000000,1747918604693000000,0
cacheStateStorage.get.duration,1747918584791000000,1747918604693000000,0
